split,h,model,scope,pinball_0.1,pinball_0.5,pinball_0.9,mae_p50,dir_hit
test,90,rw,Panamax,0.06405617296696123,0.10470385505376875,0.04071588752294929,0.2094077101075375,0.25842696629213485
test,90,rw,Supramax,0.05423368865604188,0.11364634865494744,0.03238293357653134,0.22729269730989488,0.2692307692307692
test,90,xgb,Capesize,0.07009358215369989,0.12830479041523615,0.035259825070545675,0.2566095808304723,0.7444444444444445
test,90,xgb,Handysize,0.04589644820275522,0.045728037045152825,0.03488712843075712,0.09145607409030565,0.9690721649484536
test,90,xgb,POOLED,0.05699628226964048,0.08380886881610625,0.03473811275567418,0.1676177376322125,0.8775510204081632
test,90,xgb,Panamax,0.05604678865485124,0.07310363292693277,0.03503377212967245,0.14620726585386554,0.8707865168539326
test,90,xgb,Supramax,0.05088738001024304,0.0705676972897984,0.03385355173517084,0.1411353945795968,0.967032967032967
valid,1,ar1,Capesize,0.014255593715275959,0.028858981492275015,0.014460617941732874,0.05771796298455003,0.5197132616487455
valid,1,ar1,Handysize,0.0027602370286727972,0.0056064147297501124,0.0029710803952561872,0.011212829459500225,0.4128113879003559
valid,1,ar1,POOLED,0.006234619997146822,0.013344348660562068,0.0067891946511342,0.026688697321124135,0.47942754919499103
valid,1,ar1,Panamax,0.004470362215198187,0.011266661333076538,0.005591431407251936,0.022533322666153075,0.4659498207885305
valid,1,ar1,Supramax,0.0034771930005405172,0.007700806147582532,0.004161018854961595,0.015401612295165065,0.5197132616487455
valid,1,rw,Capesize,0.014195119298159113,0.02886832111040764,0.014515721365099495,0.05773664222081528,0.5268817204301075
valid,1,rw,Handysize,0.0027266686223117276,0.005422072849845856,0.0030471847486623206,0.010844145699691712,0.5871886120996441
valid,1,rw,POOLED,0.006204064304161103,0.013297354826803548,0.006833788933156911,0.026594709653607097,0.5348837209302325
valid,1,rw,Panamax,0.0044704722054907135,0.011256575745641,0.005602632586374418,0.022513151491282,0.5125448028673835
valid,1,rw,Supramax,0.0034489246582946847,0.007698903235563125,0.004196761148509295,0.01539780647112625,0.5125448028673835
valid,1,xgb,Capesize,0.011779703941078147,0.024337194887824633,0.012840814662349062,0.048674389775649265,0.7204301075268817
valid,1,xgb,Handysize,0.0011741846784090455,0.002420177870331651,0.0012822983711831863,0.004840355740663302,0.8825622775800712
valid,1,xgb,POOLED,0.004374179262853655,0.009106764418073551,0.004804068459464546,0.018213528836147103,0.8291592128801432
valid,1,xgb,Panamax,0.002845828590459217,0.00626549783124161,0.0032449907908386993,0.01253099566248322,0.8530465949820788
valid,1,xgb,Supramax,0.001719938870747382,0.003452119602951807,0.0018734156772025146,0.006904239205903614,0.8602150537634409
valid,7,ar1,Capesize,0.04505242842072509,0.09714878735037391,0.047228910615171274,0.19429757470074782,0.5017921146953405
valid,7,ar1,Handysize,0.011012542208079006,0.02541313212046344,0.012279327985128152,0.05082626424092688,0.4412811387900356
valid,7,ar1,POOLED,0.021854201527144106,0.04884532526774794,0.02394739640213205,0.09769065053549587,0.5062611806797853
valid,7,ar1,Panamax,0.017523162334027613,0.04206739738361093,0.019939595093040816,0.08413479476722185,0.5161290322580645
valid,7,ar1,Supramax,0.013906391133695,0.030919956927276705,0.016425393982693357,0.06183991385455341,0.5663082437275986
valid,7,rw,Capesize,0.04471502043034726,0.0975960973288823,0.04849102688029592,0.1951921946577646,0.4946236559139785
valid,7,rw,Handysize,0.010840420244540959,0.023877835137864106,0.013424054953880906,0.04775567027572821,0.5587188612099644
