"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2015","650.00","650.00","650.00","650.00","","-1.37%"
"01/22/2015","659.00","659.00","659.00","659.00","","-2.08%"
"01/21/2015","673.00","673.00","673.00","673.00","","-1.61%"
"01/20/2015","684.00","684.00","684.00","684.00","","-2.15%"
"01/19/2015","699.00","699.00","699.00","699.00","","-2.37%"
"01/16/2015","716.00","716.00","716.00","716.00","","-2.59%"
"01/15/2015","735.00","735.00","735.00","735.00","","-2.26%"
"01/14/2015","752.00","752.00","752.00","752.00","","-1.44%"
"01/13/2015","763.00","763.00","763.00","763.00","","-1.93%"
"01/12/2015","778.00","778.00","778.00","778.00","","-2.75%"
"01/09/2015","800.00","800.00","800.00","800.00","","-2.44%"
"01/08/2015","820.00","820.00","820.00","820.00","","-2.73%"
"01/07/2015","843.00","843.00","843.00","843.00","","-2.09%"
"01/06/2015","861.00","861.00","861.00","861.00","","-1.37%"
"01/05/2015","873.00","873.00","873.00","873.00","","-1.24%"
"01/02/2015","884.00","884.00","884.00","884.00","","-0.34%"
"12/24/2014","887.00","887.00","887.00","887.00","","-1.11%"
"12/23/2014","897.00","897.00","897.00","897.00","","-0.99%"
"12/22/2014","906.00","906.00","906.00","906.00","","-1.20%"
"12/19/2014","917.00","917.00","917.00","917.00","","-0.86%"
"12/18/2014","925.00","925.00","925.00","925.00","","-0.75%"
"12/17/2014","932.00","932.00","932.00","932.00","","-1.06%"
"12/16/2014","942.00","942.00","942.00","942.00","","-0.53%"
"12/15/2014","947.00","947.00","947.00","947.00","","-0.32%"
"12/12/2014","950.00","950.00","950.00","950.00","","-0.31%"
"12/11/2014","953.00","953.00","953.00","953.00","","-0.73%"
"12/10/2014","960.00","960.00","960.00","960.00","","-0.62%"
"12/09/2014","966.00","966.00","966.00","966.00","","-0.31%"
"12/08/2014","969.00","969.00","969.00","969.00","","-0.21%"
"12/05/2014","971.00","971.00","971.00","971.00","","-0.92%"
"12/04/2014","980.00","980.00","980.00","980.00","","-0.41%"
"12/03/2014","984.00","984.00","984.00","984.00","","-0.30%"
"12/02/2014","987.00","987.00","987.00","987.00","","-0.20%"
"12/01/2014","989.00","989.00","989.00","989.00","","0.30%"
"11/28/2014","986.00","986.00","986.00","986.00","","0.20%"
"11/27/2014","984.00","984.00","984.00","984.00","","0.41%"
"11/26/2014","980.00","980.00","980.00","980.00","","1.03%"
"11/25/2014","970.00","970.00","970.00","970.00","","1.46%"
"11/24/2014","956.00","956.00","956.00","956.00","","1.49%"
"11/21/2014","942.00","942.00","942.00","942.00","","1.73%"
"11/20/2014","926.00","926.00","926.00","926.00","","2.43%"
"11/19/2014","904.00","904.00","904.00","904.00","","2.61%"
"11/18/2014","881.00","881.00","881.00","881.00","","0.69%"
"11/17/2014","875.00","875.00","875.00","875.00","","0.00%"
"11/14/2014","875.00","875.00","875.00","875.00","","0.23%"
"11/13/2014","873.00","873.00","873.00","873.00","","0.00%"
"11/12/2014","873.00","873.00","873.00","873.00","","-0.34%"
"11/11/2014","876.00","876.00","876.00","876.00","","-0.34%"
"11/10/2014","879.00","879.00","879.00","879.00","","-0.23%"
"11/07/2014","881.00","881.00","881.00","881.00","","-0.56%"
"11/06/2014","886.00","886.00","886.00","886.00","","-0.23%"
"11/05/2014","888.00","888.00","888.00","888.00","","0.00%"
"11/04/2014","888.00","888.00","888.00","888.00","","-0.11%"
"11/03/2014","889.00","889.00","889.00","889.00","","-0.34%"
